"id";"time_stamp";"person";"bicycle";"car";"motorcycle";"bus";"truck";"cat";"dog"
215;"2021-07-17 20:45:00";4;0;8;0;0;0;0;0
216;"2021-07-17 20:59:59";5;0;5;0;0;0;0;0
217;"2021-07-18 08:15:00";3;1;32;0;0;0;0;0
218;"2021-07-18 08:30:00";15;0;27;1;0;0;0;0
219;"2021-07-18 08:45:00";8;0;38;0;0;0;0;0
220;"2021-07-18 09:00:00";8;0;39;0;0;0;0;0
221;"2021-07-18 09:15:00";6;0;42;1;0;0;0;0
222;"2021-07-18 09:30:00";28;3;52;0;0;1;0;0
223;"2021-07-18 09:45:00";11;0;78;1;0;3;0;0
224;"2021-07-18 10:00:00";14;1;48;0;0;1;0;0
225;"2021-07-18 10:15:00";10;0;42;0;0;3;0;0
226;"2021-07-18 10:30:00";28;0;407;0;0;3;0;0
227;"2021-07-18 10:45:00";17;0;52;0;0;1;0;0
228;"2021-07-18 11:00:00";30;1;60;0;0;0;0;0
229;"2021-07-18 11:15:00";12;0;62;1;0;1;0;0
230;"2021-07-18 11:30:00";14;1;55;1;1;0;0;0
231;"2021-07-18 11:44:59";11;0;45;1;0;2;0;0
232;"2021-07-18 12:00:00";10;3;44;0;0;0;0;0
233;"2021-07-18 12:15:00";23;0;51;0;0;0;0;0
234;"2021-07-18 12:30:00";12;1;49;1;0;1;0;0
235;"2021-07-18 12:45:00";11;0;39;1;0;2;0;0
236;"2021-07-18 13:00:00";10;0;49;2;0;2;0;0
237;"2021-07-18 13:15:00";23;3;35;2;0;2;0;0
238;"2021-07-18 13:30:00";12;0;41;1;0;0;0;0
239;"2021-07-18 13:45:00";11;0;53;1;0;1;0;0
240;"2021-07-18 14:00:00";14;0;32;1;0;1;0;0
241;"2021-07-18 14:15:00";13;0;28;2;0;1;0;0
242;"2021-07-18 14:30:00";4;0;37;0;0;0;0;0
243;"2021-07-18 14:45:00";26;0;29;0;1;1;0;0
244;"2021-07-18 15:00:00";15;0;39;0;0;2;0;0
245;"2021-07-18 15:15:00";20;0;39;0;0;0;0;0
246;"2021-07-18 15:30:00";13;1;29;3;0;0;0;0
247;"2021-07-18 15:45:00";3;0;34;0;0;1;0;0
248;"2021-07-18 16:00:00";16;0;32;2;0;0;0;0
249;"2021-07-18 16:15:00";24;1;33;1;0;0;0;0
250;"2021-07-18 16:30:00";20;0;23;1;0;0;0;0
251;"2021-07-18 16:45:00";17;0;30;1;0;1;0;0
252;"2021-07-18 17:00:00";21;0;31;0;1;0;0;0
253;"2021-07-18 17:15:00";34;0;34;0;1;0;0;0
254;"2021-07-18 17:30:00";20;0;26;0;1;2;0;0
255;"2021-07-18 17:45:00";6;0;16;0;0;1;0;0
256;"2021-07-18 17:59:59";17;0;16;0;0;0;0;0
257;"2021-07-18 18:15:00";15;0;18;0;0;0;0;0
258;"2021-07-18 18:30:00";18;0;14;0;0;0;0;0
259;"2021-07-18 18:45:00";20;0;23;0;0;0;0;0
260;"2021-07-18 19:00:00";16;0;20;0;0;1;0;0
261;"2021-07-18 19:15:00";12;0;19;0;0;1;0;0
262;"2021-07-18 19:30:00";5;0;14;0;0;0;0;0
263;"2021-07-18 19:45:00";7;0;5;0;0;0;0;0
264;"2021-07-18 20:00:00";6;0;13;0;0;0;0;0
265;"2021-07-18 20:15:00";11;0;13;0;0;0;0;0
266;"2021-07-18 20:30:00";14;0;10;0;0;0;0;0
267;"2021-07-18 20:45:00";7;0;3;0;0;0;0;0
268;"2021-07-18 21:00:00";1;0;1;0;0;0;0;0
269;"2021-07-19 07:15:00";7;1;57;0;2;2;0;0
270;"2021-07-19 07:45:00";9;2;68;0;2;4;0;0
271;"2021-07-19 08:00:00";22;3;74;1;0;3;0;0
272;"2021-07-19 08:15:00";14;0;59;0;0;5;0;0
273;"2021-07-19 08:30:00";14;0;59;0;2;8;0;0
274;"2021-07-19 08:45:00";11;0;58;0;2;5;0;0
275;"2021-07-19 09:00:00";29;1;64;0;1;4;0;0
276;"2021-07-19 09:15:00";16;0;48;1;0;3;0;0
277;"2021-07-19 09:30:00";8;0;50;0;0;4;0;0
278;"2021-07-19 09:45:00";13;0;62;0;2;4;0;0
279;"2021-07-19 10:00:00";7;0;64;1;0;7;0;0
